message,toxicity,context_score,context_type,label
thanks for the game,0.007,0.847,competitive,0
wp wp,0.134,0.379,casual,0
owned,0.73,0.599,team_chat,1
great teamwork guys,0.154,0.403,casual,0
nice save,0.047,0.594,post_game,0
cover me please,0.07,0.739,all_chat,0
let's try again,0.065,0.217,casual,0
you don't deserve to play,0.888,0.511,team_chat,1
get rekt,0.508,0.314,team_chat,1
let's try again,0.091,0.45,casual,0
we can do this,0.183,0.696,post_game,0
let's regroup,0.111,0.613,all_chat,0
rematch?,0.041,0.515,team_chat,0
watch out behind you,0.072,0.325,team_chat,0
we can do this,0.009,0.654,team_chat,0
rematch?,0.113,0.999,competitive,0
uninstall the game noob,0.702,0.758,competitive,1
go back to tutorial,0.91,0.475,post_game,1
brain dead player,0.845,0.371,casual,1
good defense,0.075,0.579,post_game,0
add me as friend,0.178,0.532,team_chat,0
uninstall you monkey,0.842,0.74,competitive,1
cheater,0.481,0.227,pvp_combat,0
glhf everyone,0.133,0.881,all_chat,0
trash team,0.757,0.385,casual,1
cheater,0.773,0.536,post_game,1
enemy spotted,0.058,0.209,casual,0
thanks for the game,0.171,0.469,post_game,0
gg well played team!,0.023,0.571,all_chat,0
stupid noob,0.987,0.686,team_chat,1
gg well played team!,0.19,0.757,competitive,0
great teamwork guys,0.052,0.899,competitive,0
let's try again,0.136,0.611,competitive,0
nice play,0.162,0.453,post_game,0
rematch?,0.129,0.406,team_chat,0
nice kill,0.141,0.867,all_chat,0
delete this game idiot,0.785,0.742,all_chat,1
stupid noob,0.759,0.999,competitive,1
you don't deserve to play,0.985,0.83,all_chat,1
stop feeding moron,0.83,0.498,casual,1
hacker,0.705,0.548,all_chat,1
we can do this,0.173,0.066,pvp_combat,0
glhf everyone,0.049,0.615,team_chat,0
ez noob,0.44,0.199,pvp_combat,0
i'll kill you,0.617,0.651,all_chat,1
add me as friend,0.025,0.441,post_game,0
reported for being bad,0.843,0.698,post_game,1
cover me please,0.105,0.582,all_chat,0
add me as friend,0.131,0.956,competitive,0
gg well played team!,0.058,0.712,post_game,0
great teamwork guys,0.172,0.665,all_chat,0
nice try!,0.149,0.705,competitive,0
gg well played team!,0.147,0.727,all_chat,0
you're a waste of space,0.937,0.822,all_chat,1
how are you still alive,0.872,0.679,team_chat,1
good luck have fun,0.003,0.651,competitive,0
that was close,0.082,0.772,all_chat,0
i'll help you,0.084,0.636,post_game,0
reported,0.37,0.445,casual,0
pathetic loser,0.734,0.584,post_game,1
almost had it,0.045,0.567,all_chat,0
let's try again,0.055,0.659,competitive,0
let's try again,0.088,0.397,pvp_combat,0
nice try!,0.013,0.235,pvp_combat,0
i hope you lose every game,0.932,0.605,team_chat,1
kys noob,0.865,0.374,casual,1
absolute garbage player,0.781,0.831,competitive,1
how are you this bad,0.908,0.526,team_chat,1
thanks for the game,0.076,0.192,casual,0
die in a fire,0.72,0.352,casual,1
nice kill,0.09,0.649,all_chat,0
we can do this,0.073,0.529,all_chat,0
i hope you get banned,0.836,0.016,pvp_combat,1
pathetic loser,0.912,0.718,competitive,1
good luck have fun,0.175,0.18,pvp_combat,0
absolute garbage player,0.945,0.438,team_chat,1
how are you this bad,0.895,0.924,competitive,1
pathetic loser,0.754,0.827,all_chat,1
smashed you,0.781,0.687,all_chat,1
trash team,0.994,0.344,pvp_combat,1
cover me please,0.167,0.671,post_game,0
stop feeding moron,0.999,0.544,post_game,1
you're useless,0.972,0.704,competitive,1
glhf everyone,0.185,0.68,post_game,0
uninstall you monkey,0.87,0.44,post_game,1
we can do this,0.151,0.628,all_chat,0
you're throwing the game,0.932,0.621,post_game,1
reported,0.749,0.601,post_game,1
good luck have fun,0.047,0.33,casual,0
you got lucky,0.747,0.796,competitive,1
good game everyone,0.152,0.619,post_game,0
good luck have fun,0.054,0.325,team_chat,0
glhf everyone,0.043,0.558,post_game,0
your family must be ashamed,0.794,0.146,casual,1
wait for team,0.188,0.339,pvp_combat,0
nice save,0.097,0.453,team_chat,0
nice kill,0.16,0.198,casual,0
that was close,0.1,0.016,pvp_combat,0
you're trash,0.841,0.12,casual,1
end your life,0.91,0.742,competitive,1
that was fun,0.152,0.614,competitive,0
uninstall you monkey,0.904,0.68,competitive,1
nice save,0.131,0.446,casual,0
delete this game idiot,0.901,0.941,competitive,1
nice shot!,0.091,0.33,casual,0
you're throwing the game,0.911,0.359,pvp_combat,1
trash team,0.91,0.785,all_chat,1
how are you still alive,0.909,0.457,team_chat,1
how are you still alive,0.869,0.856,competitive,1
reported for being bad,0.756,0.346,pvp_combat,1
you're trash,0.8,0.315,casual,1
you're retarded,0.869,0.597,team_chat,1
die in a fire,0.898,0.087,pvp_combat,1
absolute garbage player,0.801,0.514,team_chat,1
that was close,0.016,0.584,post_game,0
thanks for heal,0.039,0.444,team_chat,0
nice play,0.131,0.292,casual,0
trash team,0.857,0.443,team_chat,1
nice kill,0.029,0.825,competitive,0
that was fun,0.132,0.257,pvp_combat,0
end your life,0.8,0.029,pvp_combat,1
rematch?,0.121,0.733,post_game,0
neck yourself,0.744,0.481,team_chat,1
need backup,0.175,0.533,all_chat,0
let's regroup,0.094,0.866,all_chat,0
get cancer,0.976,0.684,team_chat,1
glhf everyone,0.056,0.683,team_chat,0
enemy spotted,0.119,0.513,all_chat,0
you're useless,0.864,0.72,all_chat,1
let's regroup,0.092,0.184,casual,0
i'll help you,0.069,0.451,casual,0
you're a waste of space,0.817,0.914,competitive,1
you don't deserve to play,0.896,0.027,pvp_combat,1
you're trash,0.873,0.195,casual,1
your family must be ashamed,0.86,0.763,post_game,1
add me as friend,0.116,0.563,team_chat,0
that was fun,0.082,0.662,post_game,0
wait for team,0.094,0.007,pvp_combat,0
i hope you get banned,0.713,0.949,competitive,1
brain dead player,0.834,0.48,casual,1
good defense,0.111,0.455,team_chat,0
neck yourself,0.785,0.769,all_chat,1
how are you this bad,0.837,0.839,competitive,1
worst player ever,0.762,0.184,pvp_combat,1
go back to tutorial,0.956,0.626,post_game,1
thanks for the game,0.127,0.401,team_chat,0
get cancer,0.914,0.238,casual,1
nice kill,0.151,0.372,casual,0
good defense,0.02,0.401,casual,0
delete this game idiot,0.718,0.691,all_chat,1
trash team,0.934,0.235,casual,1
kys noob,0.833,0.476,team_chat,1
get cancer,0.965,0.387,team_chat,1
nice hacks,0.742,0.515,post_game,1
wait for team,0.105,0.892,all_chat,0
kys noob,0.761,0.424,team_chat,1
nice kill,0.032,0.057,pvp_combat,0
you're retarded,0.85,0.611,team_chat,1
neck yourself,0.946,0.067,pvp_combat,1
kill yourself,0.935,0.71,all_chat,1
rematch?,0.063,0.744,post_game,0
nice kill,0.163,0.685,team_chat,0
stop feeding moron,0.858,0.684,competitive,1
lets push together,0.1,0.18,pvp_combat,0
follow me,0.133,0.088,pvp_combat,0
go back to tutorial,0.886,0.928,competitive,1
why so serious,0.623,0.435,post_game,1
i hope you lose every game,0.787,0.459,post_game,1
cover me please,0.13,0.19,casual,0
that was fun,0.011,0.602,team_chat,0
good call,0.18,0.168,casual,0
nice try!,0.179,0.765,competitive,0
enemy spotted,0.096,0.625,team_chat,0
cover me please,0.029,0.428,casual,0
good game everyone,0.19,0.603,post_game,0
reported for being bad,0.847,0.366,team_chat,1
i'll help you,0.172,0.272,pvp_combat,0
stop feeding moron,0.807,0.362,casual,1
wait for team,0.187,0.183,pvp_combat,0
your family must be ashamed,0.808,0.838,all_chat,1
nice shot!,0.189,0.119,casual,0
that was fun,0.055,0.244,casual,0
you're dead,0.401,0.467,casual,0
die in a fire,0.942,0.757,post_game,1
good game everyone,0.158,0.234,casual,0
why so serious,0.769,0.666,team_chat,1
good luck have fun,0.033,0.874,all_chat,0
destroyed you,0.76,0.741,all_chat,1
thanks for the game,0.061,0.533,post_game,0
sweaty player,0.621,0.58,all_chat,1
destroyed you,0.633,0.591,team_chat,1
watch out behind you,0.178,0.683,post_game,0
rematch?,0.015,0.526,team_chat,0
nice save,0.069,0.823,all_chat,0
end your life,0.911,0.238,pvp_combat,1
enemy spotted,0.013,0.716,competitive,0
die in a fire,0.95,0.097,pvp_combat,1
that was fun,0.109,0.769,competitive,0
reported,0.458,0.353,casual,0
good game everyone,0.111,0.183,pvp_combat,0
let's try again,0.137,0.356,team_chat,0
you're dead,0.581,0.67,all_chat,1
trash team,0.824,0.122,casual,1
thanks for the game,0.153,0.358,casual,0
get rekt,0.79,0.522,team_chat,1
you're dead,0.742,0.447,post_game,1
follow me,0.043,0.293,casual,0
good call,0.182,0.309,casual,0
watch out behind you,0.152,0.162,pvp_combat,0
we can do this,0.082,0.889,competitive,0
brain dead player,0.925,0.322,team_chat,1
that was fun,0.191,0.889,all_chat,0
good call,0.058,0.128,casual,0
end your life,0.76,0.829,all_chat,1
nice try!,0.149,0.791,post_game,0
nice try!,0.11,0.652,all_chat,0
reported for being bad,0.884,0.715,competitive,1
need backup,0.059,0.585,team_chat,0
i hope you lose every game,0.929,0.73,post_game,1
cheater,0.556,0.779,all_chat,1
i hope you get banned,0.945,0.574,team_chat,1
camper noob,0.609,0.546,team_chat,1
uninstall you monkey,0.845,0.632,team_chat,1
good defense,0.128,0.783,competitive,0
absolute garbage player,0.705,0.127,casual,1
owned,0.209,0.477,casual,0
follow me,0.045,0.321,team_chat,0
nice play,0.157,0.793,competitive,0
nice try!,0.055,0.285,pvp_combat,0
good defense,0.054,0.105,pvp_combat,0
why so serious,0.437,0.053,pvp_combat,0
get rekt,0.228,0.009,pvp_combat,0
absolute garbage player,0.972,0.655,all_chat,1
absolute garbage player,0.955,0.748,post_game,1
nice try!,0.177,0.455,team_chat,0
rematch?,0.171,0.323,team_chat,0
good game everyone,0.183,0.467,team_chat,0
cover me please,0.096,0.852,competitive,0
neck yourself,0.976,0.577,team_chat,1
thanks for the game,0.095,0.226,pvp_combat,0
enemy spotted,0.062,0.36,casual,0
thanks for the game,0.126,0.359,casual,0
kys noob,0.732,0.86,competitive,1
thanks for heal,0.016,0.548,all_chat,0
good call,0.133,0.605,team_chat,0
worst player ever,0.956,0.148,pvp_combat,1
rematch?,0.003,0.685,team_chat,0
follow me,0.196,0.428,post_game,0
nice play,0.068,0.625,all_chat,0
nice play,0.126,0.737,all_chat,0
how are you this bad,0.933,0.608,team_chat,1
nice try!,0.083,0.228,casual,0
destroyed you,0.697,0.652,competitive,1
delete this game idiot,0.938,0.628,competitive,1
nice play,0.169,0.7,team_chat,0
that was fun,0.017,0.659,all_chat,0
nice save,0.171,0.02,pvp_combat,0
watch out behind you,0.022,0.21,casual,0
pathetic loser,0.74,0.444,casual,1
need backup,0.183,0.295,casual,0
thanks for the game,0.151,0.644,team_chat,0
you're useless,0.786,0.728,competitive,1
reported for being bad,0.701,0.68,competitive,1
you're trash,0.814,0.268,pvp_combat,1
cover me please,0.084,0.873,competitive,0
nice try!,0.028,0.271,pvp_combat,0
trash team,0.704,0.2,casual,1
good call,0.074,0.697,post_game,0
reported for being bad,0.902,0.602,competitive,1
let's regroup,0.138,0.371,team_chat,0
that was close,0.1,0.454,team_chat,0
thanks for the game,0.083,0.464,team_chat,0
i hope you get banned,0.875,0.885,all_chat,1
nice save,0.097,0.858,all_chat,0
stop camping,0.762,0.891,all_chat,1
we can do this,0.112,0.291,casual,0
add me as friend,0.164,0.395,team_chat,0
how are you still alive,0.895,0.36,team_chat,1
wait for team,0.01,0.25,pvp_combat,0
kill yourself,0.903,0.297,casual,1
good call,0.137,0.681,all_chat,0
i'll help you,0.13,0.605,all_chat,0
reported for being bad,0.888,0.528,team_chat,1
sit down,0.698,0.8,competitive,1
nice shot!,0.143,0.415,post_game,0
thanks for heal,0.098,0.374,casual,0
uninstall the game noob,0.761,0.477,post_game,1
need backup,0.082,0.513,all_chat,0
glhf everyone,0.019,0.569,team_chat,0
neck yourself,0.761,0.671,team_chat,1
wp wp,0.012,0.367,casual,0
you suck so bad,0.971,0.192,casual,1
pathetic loser,0.815,0.583,all_chat,1
wp wp,0.066,0.751,competitive,0
you're throwing the game,0.818,0.41,casual,1
trash team,0.997,0.98,competitive,1
delete this game idiot,0.951,0.8,all_chat,1
enemy spotted,0.054,0.246,pvp_combat,0
you're a waste of space,0.871,0.661,post_game,1
nice play,0.076,0.375,casual,0
tryhard,0.555,0.607,team_chat,1
wait for team,0.193,0.073,pvp_combat,0
how are you still alive,0.716,0.187,casual,1
great teamwork guys,0.149,0.766,post_game,0
destroyed you,0.358,0.164,pvp_combat,0
let's try again,0.158,0.639,post_game,0
destroyed you,0.234,0.066,pvp_combat,0
let's regroup,0.199,0.865,competitive,0
nice hacks,0.706,0.497,team_chat,1
we can do this,0.166,0.873,all_chat,0
you're useless,0.94,0.566,post_game,1
gg well played team!,0.035,0.051,pvp_combat,0
i'll help you,0.167,0.371,pvp_combat,0
almost had it,0.092,0.104,casual,0
add me as friend,0.133,0.749,all_chat,0
cover me please,0.18,0.871,competitive,0
pathetic loser,0.76,0.611,team_chat,1
wp wp,0.195,0.604,team_chat,0
sweaty player,0.57,0.596,team_chat,1
good defense,0.05,0.625,team_chat,0
camper noob,0.742,0.895,competitive,1
why so serious,0.688,0.747,post_game,1
i hope you lose every game,0.818,0.586,team_chat,1
go back to tutorial,0.742,0.422,casual,1
gg well played team!,0.159,0.417,team_chat,0
thanks for heal,0.096,0.497,post_game,0
nice try!,0.024,0.643,post_game,0
delete this game idiot,0.872,0.496,casual,1
thanks for heal,0.0,0.584,all_chat,0
i hope you get banned,0.877,0.871,competitive,1
good call,0.165,0.567,all_chat,0
destroyed you,0.721,0.952,competitive,1
wait for team,0.152,0.071,pvp_combat,0
your family must be ashamed,0.924,0.714,competitive,1
i hope you lose every game,0.778,0.504,all_chat,1
i'll help you,0.163,0.122,casual,0
nice try!,0.107,0.886,all_chat,0
nice shot!,0.028,0.453,team_chat,0
you're retarded,0.799,0.585,post_game,1
too easy,0.268,0.157,casual,0
enemy spotted,0.088,0.61,post_game,0
too easy,0.512,0.395,team_chat,1
follow me,0.062,0.53,post_game,0
great teamwork guys,0.132,0.669,all_chat,0
i'll help you,0.167,0.529,all_chat,0
trash team,0.964,0.112,casual,1
destroyed you,0.561,0.884,competitive,1
good defense,0.071,0.476,casual,0
nice shot!,0.003,0.316,team_chat,0
wait for team,0.173,0.056,pvp_combat,0
stop feeding moron,0.984,0.983,competitive,1
tryhard,0.271,0.028,pvp_combat,0
that was fun,0.062,0.036,pvp_combat,0
kill yourself,0.905,0.919,competitive,1
add me as friend,0.096,0.799,all_chat,0
let's regroup,0.092,0.787,all_chat,0
owned,0.431,0.369,casual,0
how are you still alive,0.861,0.7,competitive,1
glhf everyone,0.023,0.746,post_game,0
almost had it,0.111,0.979,competitive,0
that was fun,0.169,0.288,casual,0
cheater,0.52,0.995,competitive,1
sweaty player,0.509,0.363,team_chat,1
nice try!,0.118,0.028,pvp_combat,0
uninstall the game noob,0.748,0.102,casual,1
get cancer,0.98,0.635,team_chat,1
you're retarded,0.874,0.037,pvp_combat,1
trash team,0.73,0.822,all_chat,1
die in a fire,0.831,0.554,all_chat,1
owned,0.204,0.36,casual,0
i hope you lose every game,0.767,0.495,casual,1
how are you still alive,0.884,0.351,pvp_combat,1
rematch?,0.117,0.267,casual,0
you're trash,0.969,0.36,casual,1
lets push together,0.069,0.801,competitive,0
you suck so bad,0.764,0.714,post_game,1
nice play,0.122,0.414,casual,0
that was close,0.164,0.416,team_chat,0
end your life,0.746,0.374,casual,1
we can do this,0.153,0.616,all_chat,0
stupid noob,0.773,0.125,pvp_combat,1
you don't deserve to play,0.92,0.276,pvp_combat,1
you suck so bad,0.841,0.203,casual,1
let's try again,0.194,0.35,team_chat,0
smashed you,0.662,0.309,team_chat,1
why so serious,0.519,0.496,team_chat,1
kill yourself,0.924,0.31,team_chat,1
kill yourself,0.883,0.254,casual,1
you're a waste of space,0.984,0.584,all_chat,1
follow me,0.044,0.61,all_chat,0
watch out behind you,0.012,0.362,pvp_combat,0
that was fun,0.046,0.831,all_chat,0
glhf everyone,0.17,0.112,pvp_combat,0
cover me please,0.048,0.268,pvp_combat,0
good call,0.109,0.396,pvp_combat,0
too easy,0.694,0.618,all_chat,1
you suck so bad,0.787,0.221,casual,1
nice try!,0.086,0.281,pvp_combat,0
that was close,0.19,0.242,pvp_combat,0
let's regroup,0.056,0.682,all_chat,0
you suck so bad,0.746,0.334,casual,1
end your life,0.975,0.816,all_chat,1
enemy spotted,0.03,0.502,team_chat,0
tryhard,0.711,0.885,competitive,1
your family must be ashamed,0.966,0.359,casual,1
stop feeding moron,0.964,0.784,post_game,1
that was close,0.088,0.788,post_game,0
tryhard,0.318,0.17,pvp_combat,0
nice save,0.137,0.489,casual,0
thanks for the game,0.049,0.626,post_game,0
need backup,0.029,0.469,post_game,0
reported,0.587,0.522,team_chat,1
go back to tutorial,0.803,0.448,post_game,1
nice save,0.105,0.884,all_chat,0
watch out behind you,0.136,0.798,competitive,0
stop feeding moron,0.851,0.361,team_chat,1
gg well played team!,0.009,0.098,pvp_combat,0
thanks for heal,0.055,0.133,pvp_combat,0
need backup,0.063,0.645,post_game,0
need backup,0.076,0.676,all_chat,0
good luck have fun,0.167,1.0,competitive,0
gg well played team!,0.112,0.36,casual,0
absolute garbage player,0.819,0.272,pvp_combat,1
cover me please,0.081,0.267,casual,0
stop camping,0.585,0.549,post_game,1
gg well played team!,0.06,0.643,competitive,0
you suck so bad,0.979,0.486,post_game,1
how are you this bad,0.817,0.779,competitive,1
how are you this bad,0.873,0.259,casual,1
good defense,0.035,0.615,team_chat,0
that was fun,0.194,0.801,competitive,0
your family must be ashamed,0.781,0.244,casual,1
get cancer,0.957,0.696,competitive,1
great teamwork guys,0.012,0.961,competitive,0
go back to tutorial,0.982,0.4,casual,1
nice save,0.072,0.194,pvp_combat,0
rematch?,0.177,0.096,pvp_combat,0
nice try!,0.061,0.449,team_chat,0
delete this game idiot,0.851,0.355,casual,1
nice save,0.073,0.247,casual,0
i hope you lose every game,0.789,0.219,pvp_combat,1
nice hacks,0.307,0.465,casual,0
great teamwork guys,0.093,0.462,team_chat,0
your family must be ashamed,0.831,0.334,team_chat,1
destroyed you,0.6,0.757,post_game,1
nice try!,0.192,0.835,competitive,0
i'll kill you,0.566,0.647,post_game,1
great teamwork guys,0.13,0.499,team_chat,0
you suck so bad,0.813,0.512,post_game,1
brain dead player,0.903,0.62,team_chat,1
good call,0.091,0.679,post_game,0
you suck so bad,0.771,0.53,post_game,1
nice try!,0.133,0.451,team_chat,0
great teamwork guys,0.168,0.234,casual,0
reported for being bad,0.902,0.53,all_chat,1
reported for being bad,0.82,0.509,post_game,1
absolute garbage player,0.814,0.653,team_chat,1
uninstall you monkey,0.862,0.719,all_chat,1
reported,0.708,0.808,all_chat,1
nice play,0.155,0.608,all_chat,0
rematch?,0.091,0.158,casual,0
die in a fire,0.875,0.628,competitive,1
glhf everyone,0.161,0.785,post_game,0
you don't deserve to play,0.793,0.384,casual,1
cheater,0.663,0.602,post_game,1
you got lucky,0.668,0.722,competitive,1
sweaty player,0.36,0.223,casual,0
wait for team,0.039,0.904,competitive,0
kys noob,0.943,0.664,post_game,1
get rekt,0.301,0.237,pvp_combat,0
how are you this bad,0.751,0.746,all_chat,1
you don't deserve to play,0.814,0.701,competitive,1
how are you this bad,0.761,0.613,competitive,1
you're dead,0.535,0.571,team_chat,1
you're dead,0.763,0.428,team_chat,1
that was close,0.122,0.646,competitive,0
glhf everyone,0.042,0.635,all_chat,0
reported for being bad,0.992,0.507,team_chat,1
gg well played team!,0.051,0.52,team_chat,0
you're throwing the game,0.836,0.586,all_chat,1
too easy,0.485,0.477,casual,0
kill yourself,0.734,0.654,post_game,1
nice shot!,0.057,0.353,casual,0
wait for team,0.048,0.658,post_game,0
uninstall the game noob,0.867,0.906,competitive,1
good defense,0.023,0.844,competitive,0
let's regroup,0.145,0.082,pvp_combat,0
pathetic loser,0.966,0.201,pvp_combat,1
good game everyone,0.195,0.717,competitive,0
add me as friend,0.097,0.57,all_chat,0
follow me,0.03,0.193,pvp_combat,0
good call,0.148,0.18,pvp_combat,0
nice hacks,0.341,0.016,pvp_combat,0
gg well played team!,0.1,0.37,casual,0
your family must be ashamed,0.979,0.5,team_chat,1
cover me please,0.008,0.032,pvp_combat,0
how are you still alive,0.916,0.429,casual,1
great teamwork guys,0.115,0.81,all_chat,0
wp wp,0.044,0.548,team_chat,0
you're trash,0.973,0.706,all_chat,1
stupid noob,0.778,0.289,casual,1
lets push together,0.006,0.472,post_game,0
we can do this,0.096,0.686,team_chat,0
wait for team,0.015,0.512,team_chat,0
stop feeding moron,0.704,0.31,casual,1
go back to tutorial,0.739,0.938,competitive,1
good luck have fun,0.139,0.48,post_game,0
i hope you lose every game,0.756,0.073,pvp_combat,1
destroyed you,0.324,0.181,casual,0
ez noob,0.642,0.718,all_chat,1
you suck so bad,0.816,0.89,competitive,1
nice shot!,0.009,0.78,all_chat,0
add me as friend,0.114,0.525,team_chat,0
good defense,0.009,0.289,casual,0
delete this game idiot,0.735,0.684,team_chat,1
it's just a game,0.265,0.458,casual,0
it's just a game,0.562,0.83,competitive,1
you're trash,0.746,0.609,competitive,1
tryhard,0.561,0.717,post_game,1
i'll help you,0.139,0.472,casual,0
let's try again,0.123,0.662,all_chat,0
nice hacks,0.641,0.508,all_chat,1
end your life,0.881,0.649,post_game,1
you're a waste of space,0.861,0.531,team_chat,1
thanks for the game,0.055,0.406,casual,0
enemy spotted,0.144,0.764,competitive,0
wp wp,0.009,0.228,pvp_combat,0
you're retarded,0.896,0.161,pvp_combat,1
watch out behind you,0.02,0.691,post_game,0
ez noob,0.794,0.634,team_chat,1
nice play,0.156,0.837,competitive,0
nice kill,0.117,0.434,post_game,0
get cancer,0.735,0.314,pvp_combat,1
nice play,0.183,0.765,competitive,0
how are you this bad,0.836,0.355,team_chat,1
you're throwing the game,0.985,0.803,all_chat,1
reported for being bad,0.917,0.984,competitive,1
lets push together,0.139,0.604,team_chat,0
camper noob,0.503,0.604,competitive,1
kys noob,0.881,0.855,competitive,1
absolute garbage player,0.781,0.88,competitive,1
good game everyone,0.025,0.733,competitive,0
thanks for heal,0.042,0.629,all_chat,0
reported for being bad,0.872,0.57,all_chat,1
kill yourself,0.925,0.596,all_chat,1
why so serious,0.415,0.212,pvp_combat,0
sit down,0.26,0.145,pvp_combat,0
nice save,0.07,0.697,team_chat,0
almost had it,0.145,0.486,casual,0
good game everyone,0.157,0.498,team_chat,0
let's regroup,0.18,0.529,team_chat,0
lets push together,0.012,0.653,all_chat,0
die in a fire,0.989,0.719,all_chat,1
end your life,0.95,0.415,team_chat,1
let's try again,0.02,0.196,casual,0
follow me,0.038,0.518,post_game,0
nice kill,0.15,0.734,all_chat,0
worst player ever,0.899,0.431,team_chat,1
let's try again,0.081,0.591,post_game,0
i hope you lose every game,0.947,0.123,casual,1
pathetic loser,0.765,0.525,post_game,1
brain dead player,0.906,0.532,all_chat,1
good game everyone,0.162,0.646,post_game,0
kys noob,0.754,0.693,competitive,1
thanks for the game,0.05,0.134,casual,0
enemy spotted,0.148,0.49,post_game,0
pathetic loser,0.957,0.923,competitive,1
you're trash,0.79,0.14,casual,1
nice kill,0.17,0.46,casual,0
you suck so bad,0.75,0.813,competitive,1
how are you this bad,0.994,0.047,pvp_combat,1
worst player ever,0.884,0.664,all_chat,1
cheater,0.204,0.247,casual,0
nice play,0.088,0.504,team_chat,0
brain dead player,0.746,0.663,post_game,1
nice play,0.101,0.44,post_game,0
that was close,0.07,0.526,post_game,0
need backup,0.121,0.075,pvp_combat,0
wp wp,0.011,0.493,post_game,0
great teamwork guys,0.159,0.913,competitive,0
almost had it,0.153,0.794,competitive,0
die in a fire,0.777,0.849,competitive,1
nice try!,0.137,0.092,pvp_combat,0
reported,0.719,0.776,all_chat,1
good defense,0.04,0.7,competitive,0
nice play,0.05,0.177,pvp_combat,0
i hope you lose every game,0.987,0.814,competitive,1
destroyed you,0.291,0.126,casual,0
let's try again,0.127,0.329,pvp_combat,0
thanks for the game,0.055,0.532,all_chat,0
let's try again,0.099,0.709,all_chat,0
stop camping,0.767,0.627,team_chat,1
go back to tutorial,0.768,0.482,team_chat,1
glhf everyone,0.021,0.764,all_chat,0
nice play,0.173,0.631,all_chat,0
reported for being bad,0.907,0.72,post_game,1
that was fun,0.083,0.333,pvp_combat,0
i hope you get banned,0.754,0.641,all_chat,1
delete this game idiot,0.708,0.847,competitive,1
great teamwork guys,0.154,0.134,pvp_combat,0
cover me please,0.077,0.495,team_chat,0
need backup,0.095,0.413,casual,0
wp wp,0.107,0.248,casual,0
nice save,0.022,0.747,competitive,0
you don't deserve to play,0.955,0.421,post_game,1
that was fun,0.081,0.606,post_game,0
stupid noob,0.975,0.527,all_chat,1
absolute garbage player,0.867,0.662,competitive,1
nice save,0.016,0.554,team_chat,0
enemy spotted,0.014,0.191,casual,0
i hope you get banned,0.964,0.622,competitive,1
add me as friend,0.092,0.67,team_chat,0
glhf everyone,0.19,0.477,post_game,0
lets push together,0.173,0.615,post_game,0
thanks for heal,0.132,0.503,all_chat,0
that was fun,0.109,0.113,casual,0
glhf everyone,0.013,0.324,pvp_combat,0
how are you still alive,0.802,0.42,post_game,1
glhf everyone,0.037,0.101,pvp_combat,0
uninstall you monkey,0.777,0.145,casual,1
hacker,0.271,0.437,casual,0
ez noob,0.629,0.516,team_chat,1
enemy spotted,0.11,0.703,post_game,0
thanks for the game,0.158,0.601,competitive,0
good luck have fun,0.083,0.046,pvp_combat,0
good defense,0.073,0.195,casual,0
enemy spotted,0.032,0.605,competitive,0
it's just a game,0.729,0.781,competitive,1
nice kill,0.185,0.036,pvp_combat,0
good luck have fun,0.141,0.444,casual,0
uninstall you monkey,0.745,0.437,team_chat,1
i'll help you,0.06,0.141,casual,0
you're retarded,0.775,0.948,competitive,1
good call,0.124,0.752,competitive,0
reported for being bad,0.88,0.855,competitive,1
kill yourself,0.765,0.997,competitive,1
nice shot!,0.137,0.815,all_chat,0
cover me please,0.008,0.488,team_chat,0
glhf everyone,0.184,0.688,competitive,0
thanks for heal,0.015,0.079,pvp_combat,0
nice save,0.147,0.407,team_chat,0
i'll help you,0.015,0.163,pvp_combat,0
i hope you get banned,0.882,0.617,post_game,1
you're useless,0.749,0.408,post_game,1
destroyed you,0.347,0.294,pvp_combat,0
need backup,0.155,0.459,post_game,0
you don't deserve to play,0.934,0.799,all_chat,1
i'll help you,0.007,0.733,all_chat,0
i hope you lose every game,0.788,0.276,pvp_combat,1
wp wp,0.111,0.573,post_game,0
that was fun,0.053,0.806,all_chat,0
your family must be ashamed,0.706,0.962,competitive,1
glhf everyone,0.187,0.759,competitive,0
your family must be ashamed,0.794,0.622,competitive,1
follow me,0.149,0.646,team_chat,0
lets push together,0.138,0.87,all_chat,0
reported for being bad,0.805,0.463,casual,1
too easy,0.581,0.357,team_chat,1
nice shot!,0.189,0.612,team_chat,0
enemy spotted,0.145,0.898,competitive,0
cheater,0.362,0.322,casual,0
gg well played team!,0.197,0.871,all_chat,0
brain dead player,0.856,0.794,post_game,1
nice shot!,0.028,0.489,casual,0
thanks for the game,0.003,0.536,team_chat,0
good call,0.107,0.466,casual,0
why so serious,0.236,0.3,casual,0
watch out behind you,0.135,0.787,post_game,0
follow me,0.122,0.45,team_chat,0
thanks for the game,0.086,0.123,pvp_combat,0
camper noob,0.695,0.516,team_chat,1
your family must be ashamed,0.919,0.788,post_game,1
you're dead,0.702,0.978,competitive,1
that was close,0.165,0.484,team_chat,0
how are you this bad,0.914,0.357,casual,1
you're throwing the game,0.766,0.128,casual,1
thanks for the game,0.162,0.534,all_chat,0
die in a fire,0.768,0.408,team_chat,1
die in a fire,0.784,0.375,team_chat,1
we can do this,0.163,0.431,team_chat,0
enemy spotted,0.188,0.724,all_chat,0
thanks for heal,0.139,0.072,pvp_combat,0
